Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
GILEAD SCIENCES,Gilead Sciences,"$5,700 ",$0 ,"$5,700 ",2000,20000128,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,FOSTER CITY,333 LAKESIDE DRIVE,94404,0,,USA,California,publicly traded,GILD,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
ALPHARMA ANIMAL HEALTH COMPANY,Zoetis,"$18,300 ",$0 ,"$18,300 ",2001,20010925,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Arkansas,LOWELL,415 BLOOMINGTON,72745,0,,USA,New Jersey,publicly traded,ZTS,pharmaceuticals,animal health products,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"IMPAX LABORATORIES, INC",Amneal Pharmaceuticals,"$18,000 ",$0 ,"$18,000 ",2004,20040617,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,California,HAYWARD,30831 HUNTWOOD AVE,94544,325412,325412: Pharmaceutical Preparation Manufacturing,USA,New Jersey,publicly traded,AMRX,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
K V PHARMACEUTICAL,KV Pharmaceutical,"$9,000 ",$0 ,"$9,000 ",2000,20000120,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Missouri,ST. LOUIS,2303 SCHUETZ,63146,0,,USA,Missouri,out of business,,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
TEVA PHARMACEUTICALS INC.,Teva Pharmaceutical Industries,"$15,300 ",$0 ,"$15,300 ",2002,20020828,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Missouri,MEXICO,5000 SNYDER DRIVE,65265,325412,325412: Pharmaceutical Preparation Manufacturing,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
"DURAMED PHARMACEUTICALS, INC.",Teva Pharmaceutical Industries,"$7,000 ",$0 ,"$7,000 ",2001,20010823,safety-related offenses,workplace safety or health violation,,,federal,agency action,Occupational Safety & Health Administration,civil,,,,,,Ohio,CINCINNATI,5040 DURAMED ROAD,45213,0,,Israel,,publicly traded,TEVA,pharmaceuticals,pharmaceuticals,"Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",
Wyeth LLC,Pfizer,"$18,876,624 ",$0 ,"$18,876,624 ",2012,20120807,competition-related offenses,Foreign Corrupt Practices Act,,,federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171483696,
Wyeth Pharmaceuticals Inc.,Pfizer,"$490,900,000 ",$0 ,"$490,900,000 ",2013,20130730,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Wyeth Pharmaceuticals Inc., a pharmaceutical company acquired by Pfizer, Inc. in 2009, has agreed to pay $490.9 million to resolve its criminal and civil liability arising from the unlawful marketing of the prescription drug Rapamune for uses not approved as safe and effective by the U.S. Food and Drug Administration.",federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/wyeth-pharmaceuticals-agrees-pay-4909-million-marketing-prescription-drug-rapamune-unapproved,
Wyeth Biopharma,Pfizer,"$40,187 ",$0 ,"$40,187 ",2005,20050630,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1367427,,,Massachusetts,Andover,,1810,32541,32541: Pharmaceutical and Medicine Manufacturing,USA,New York,publicly traded,PFE,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
Novo Nordisk Inc.,Novo Holdings A/S,"$58,650,000 ",$0 ,"$58,650,000 ",2017,20170905,government-contracting-related offenses,False Claims Act and related,drug or medical equipment safety violation,"Novo Nordisk Inc. agreed to pay $58.65 million to resolve allegations that the company failed to comply with the FDA-mandated Risk Evaluation and Mitigation Strategy (REMS) for its Type II diabetes medication Victoza. The resolution included disgorgement of $12.15 million for alleged violations of the Federal Food, Drug, and Cosmetic Act from 2010 to 2012 and a payment of $46.5 million for alleged violations of the False Claims Act from 2010 to 2014.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,Denmark,,privately held,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/novo-nordisk-agrees-pay-58-million-failure-comply-fda-mandated-risk-program,
Mylan Inc.,Viatris,"$465,000,000 ",$0 ,"$465,000,000 ",2017,20170817,government-contracting-related offenses,False Claims Act and related,,Mylan Inc. and Mylan Specialty L.P. agreed to pay $465 million to resolve claims that they violated the False Claims Act by knowingly misclassifying EpiPen as a generic drug to avoid paying rebates owed primarily to Medicaid.,federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Pennsylvania,publicly traded,VTRS,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/mylan-agrees-pay-465-million-resolve-false-claims-act-liability-underpaying-epipen-rebates,
Aegerion Pharmaceuticals Inc.,Amryt Pharma,"$35,000,000 ",$0 ,"$35,000,000 ",2017,20170922,safety-related offenses,drug or medical equipment safety violation,False Claims Act and related,"Aegerion Pharmaceuticals Inc., a Cambridge, Massachusetts-based subsidiary of Novelion Therapeutics Inc., agreed to plead guilty to charges that that its prescription drug Juxtapid was misbranded because, among other things, Aegerion failed to comply with a Risk Evaluation and Mitigation Strategy (REMS). The resolution also included a deferred prosecution agreement relating to criminal liability under the Health Insurance Portability and Accountability Act of 1996 (HIPAA). In addition, Aegerion agreed to settle allegations that it caused false claims to be submitted to federal health care programs for Juxtapid. Aegerion agreed to pay more than $35 million to resolve criminal and civil liability arising from these matters.",federal,agency action,Justice Department Civil Division,civil and criminal,deferred prosecution agreement,,,,,,,,,,,United Kingdom,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/drug-maker-aegerion-agrees-plead-guilty-will-pay-more-35-million-resolve-criminal-charges-and,
SmithKline Beecham,GlaxoSmithKline,"$47,000,000 ",$0 ,"$47,000,000 ",2003,20031110,government-contracting-related offenses,False Claims Act and related,,,federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,United Kingdom,,publicly traded,LSE: GSK,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2003/November/03_civ_613.htm,
Abbott Laboratories and CG Nutritionals,Abbott Laboratories,"$600,000,000 ",$0 ,"$600,000,000 ",2003,20031027,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Abbott Laboratories and two of its units agreed to pay a total of $600 million in the first combined civil settlement and criminal conviction arising from Operation Headwaters, an undercover investigation by the Federal Bureau of Investigation, the U.S. Postal Inspection Service and the Office of the Inspector General for HHS, in which federal agents created a fictitious medical supplier known as Southern Medical Distributors. During its operation, various manufacturers, including Abbott's Ross Products Division, offered kickbacks to undercover agents to purchase the manufacturers' products and then advised them how to fraudulently bill the government for those items. In addition to a $382 million in civil federal Medicare and Medicaid recoveries, the states recovered $18 million in state Medicaid funds in connection with the federal government's claims. Abbott subsidiary C G Nutritionals also paid $200 million in criminal fines.",federal,agency action,Justice Department Civil Division,civil and criminal,,,,,,,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2003/November/03_civ_613.htm,
Schering-Plough Corporation,Merck,"$500,000,000 ",$0 ,"$500,000,000 ",2002,20020501,safety-related offenses,drug or medical equipment safety violation,,Schering-Plough agreed to pay $500 million to resolve allegations that the company did not comply with Food and Drug Administration regulations in its manufacture of drugs.,federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,New Jersey,publicly traded,MRK,pharmaceuticals,pharmaceuticals,https://webcache.googleusercontent.com/search?q=cache:esnmNa5Sfp4J:https://www.justice.gov/sites/default/files/opa/legacy/2010/03/08/doj-accomplishments.pdf+&cd=8&hl=en&ct=clnk&gl=us,
InterMune Inc.,Roche,"$36,900,000 ",$0 ,"$36,900,000 ",2006,20061026,healthcare-related offenses,off-label or unapproved promotion of medical products,,"InterMune, Inc, a Brisbane, Cal., biopharmaceutical company, agreed to pay the United States more than $36.9 million to resolve criminal charges and civil liabilities in connection with its alleged illegal promotion and marketing of Actimmune.",federal,agency action,Justice Department Civil Division,civil and criminal,deferred prosecution agreement,,,,,,,,,,,Switzerland,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.justice.gov/archive/opa/pr/2006/October/06_civ_728.html,
Alere Inc.,Abbott Laboratories,"$13,023,885 ",$0 ,"$13,023,885 ",2017,20170928,financial offenses,accounting fraud or deficiencies,,A Massachusetts-based medical manufacturer agreed to pay more than $13 million to settle charges that it committed accounting fraud through its subsidiaries to meet revenue targets and made improper payments to foreign officials to increase sales in certain countries.,federal,agency action,Securities and Exchange Commission,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,https://www.sec.gov/news/press-release/2017-178,
Aegerion Pharmaceuticals,Amryt Pharma,"$4,100,000 ",$0 ,"$4,100,000 ",2017,20170922,financial offenses,investor protection violation,,,federal,agency action,Securities and Exchange Commission,civil,,,,,,Massachusetts,,,,,,United Kingdom,,publicly traded,,pharmaceuticals,pharmaceuticals,https://www.sec.gov/litigation/litreleases/2017/lr23942.htm,
Galena Biopharma Inc.,SELLAS Life Sciences Group,"$7,550,000 ",$0 ,"$7,550,000 ",2017,20170908,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,Galena Biopharma Inc. agreed to pay more than $7.55 million to resolve allegations that it paid kickbacks to doctors to induce them to prescribe its fentanyl-based drug Abstral. The allegations arose from a whistleblower suit filed under the False Claims Act.,federal,agency action,U.S. Attorney-District of New Jersey,civil,,,,,,,,,,,,USA,New York,publicly traded,SLS,pharmaceuticals,pharmaceuticals,https://www.justice.gov/usao-nj/pr/galena-biopharma-inc-pay-more-755-million-resolve-alleged-false-claims-related-opioid,
Celgene Corp.,Bristol-Myers Squibb,"$280,000,000 ",$0 ,"$280,000,000 ",2017,20170724,government-contracting-related offenses,False Claims Act and related,drug or medical equipment safety violation,Celgene Corp. agreed to pay $280 million to settle fraud allegations related to the promotion of two cancer treatment drugs for uses not approved by the Food and Drug Administration.,federal,agency action,U.S. Attorney-Central District of California,civil,,,,,,,,,,,,USA,New York,publicly traded,BMY,pharmaceuticals,pharmaceuticals,https://www.justice.gov/usao-cdca/pr/celgene-agrees-pay-280-million-resolve-fraud-allegations-related-promotion-cancer-drugs,
Salix Pharmaceuticals Inc.,Bausch Health,"$54,000,000 ",$0 ,"$54,000,000 ",2016,20160609,competition-related offenses,kickbacks and bribery,False Claims Act and related,The settlement resolved claims that Salix violated the federal Anti-Kickback Statute and False Claims Act by using its speaker programs as a mechanism to pay kickbacks to doctors to induce them to prescribe Salix drugs and medical devices that were reimbursed by federal health care programs.,federal,agency action,U.S. Attorney-Southern District of New York,civil,,,,,,,,,,,,Canada,,publicly traded,BHC,pharmaceuticals,pharmaceuticals,https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-54-million-settlement-against-salix-pharmaceuticals,
Mallinckrodt LLC,Mallinckrodt,"$3,500,000 ",$0 ,"$3,500,000 ",2013,20130718,government-contracting-related offenses,False Claims Act and related,,"Mallinckrodt LLC, a pharmaceutical manufacturer, agreed to pay $3.5 million to settle allegations that it made improper payments to physicians and, as a result, caused the submission of false claims to Medicare and Medicaid between January 2005 and June 2010.",federal,agency action,U.S. Attorney-Northern District of California,civil,,,,,,,,,,,,Ireland,,publicly traded,MNK,pharmaceuticals,pharmaceuticals,https://www.justice.gov/usao-ndca/pr/pharmaceutical-company-agrees-pay-35-million-settle-false-claims-act-allegations,
"Janssen Pharmaceuticals, Inc.",Johnson & Johnson,"$410,000,000 ",$0 ,"$410,000,000 ",2013,20130103,healthcare-related offenses,off-label or unapproved promotion of medical products,,"Janssen Pharmaceuticals pleaded guilty to a charge of introducing a misbranded drug, Risperdal, into interstate commerce and was ordered to pay a $344 million fine and forfeiture of $66 million.",federal,agency action,U.S. Attorney-Eastern District of Pennsylvania,criminal,,,,,,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://www.justice.gov/usao-edpa/pr/janssen-pharmaceuticals-pleads-guilty-and-sentenced-misbranding,
